iter	RMSE
0	4841005.492
1	4831490.818
2	4823738.335
3	4809404.008
4	4744594.538
5	4731558.695
6	4725647.398
7	4719350.955
8	4715673.418
9	4709559.669
10	4706219.22
11	4703675.396
12	4690161.959
13	4688653.488
14	4686057.704
15	4684688.049
16	4644077.894
17	4638683.417
18	4635556.943
19	4633291.137
20	4630772.767
21	4628235.087
22	4626116.422
23	4625293.306
24	4623689.08
25	4620516.789
26	4561317.384
27	4561185.577
28	4561025.911
29	4526999.383
30	4483050.482
31	4425710.007
32	4367489.863
33	4367424.538
34	4311630.925
35	4309469.048
36	4307373.247
37	4260576.926
38	4250833.534
39	4247768.532
40	4241507.451
41	4239762.856
42	4214408.629
43	4183219.417
44	4173739.733
45	4165179.367
46	4141278.114
47	4141180.544
48	4103987.144
49	4099408.815
50	4099269.226
51	4075129.833
52	4075120.824
53	4072929.073
54	4072362.932
55	4070559.943
56	4018521.631
57	4017055.574
58	3979816.586
59	3952235.1
60	3940193.491
61	3940000.618
62	3889796.31
63	3888582.352
64	3866077.516
65	3836958.649
66	3788132.65
67	3787341.686
68	3739108.963
69	3739102.619
70	3738269.313
71	3738214.654
72	3698916.632
73	3697764.94
74	3697004.169
75	3696246.802
76	3694145.293
77	3692144.375
78	3681862.285
79	3680363.732
80	3679185.802
81	3678659.729
82	3677244.88
83	3658388.958
84	3618844.375
85	3572851.913
86	3572267
87	3572104.093
88	3526956.028
89	3503416.374
90	3502435.924
91	3500990.606
92	3482402.046
93	3481170.971
94	3445410.254
95	3401631.003
96	3394538.129
97	3390389.579
98	3389560.065
99	3379498.271
100	3336679.403
101	3335604.845
102	3325949.992
103	3324929.621
104	3324918.676
105	3282823.878
106	3282822.071
107	3251240.421
108	3249320.118
109	3249314.495
110	3207469.348
111	3206399.22
112	3205512.354
113	3204700.83
114	3201956.37
115	3200809.537
116	3199740.02
117	3198774.024
118	3190105.835
119	3167690.574
120	3166810.875
121	3157506.813
122	3128093.554
123	3126963.555
124	3119471.319
125	3118468.407
126	3078970.503
127	3068843.374
128	3029936.632
