iter	Passed	Remaining
0	31	127906
1	78	156931
2	128	170758
3	180	180050
4	227	181621
5	266	177305
6	314	179355
7	366	182876
8	388	172326
9	439	175461
10	454	164742
11	504	167684
12	551	169251
13	569	162228
14	616	163842
15	637	158701
16	686	160773
17	735	162775
18	760	159435
19	805	160357
20	852	161475
21	871	157601
22	923	159635
23	977	161956
24	1029	163700
25	1080	165121
26	1114	164055
27	1132	160635
28	1152	157829
29	1204	159419
30	1253	160489
31	1278	158553
32	1331	160032
33	1342	156586
34	1387	157209
35	1439	158529
36	1495	160194
37	1548	161480
38	1593	161856
39	1641	162514
40	1689	163141
41	1737	163752
42	1785	164349
43	1834	164931
44	1880	165261
45	1927	165671
46	1975	166164
47	2012	165670
48	2058	165969
49	2107	166519
50	2142	165898
51	2188	166134
52	2194	163459
53	2245	164113
54	2266	162540
55	2315	163106
56	2369	163907
57	2398	163033
58	2443	163219
59	2491	163591
60	2579	166557
61	2618	166326
62	2677	167318
63	2748	169019
64	2795	169234
65	2885	172010
66	2994	175761
67	3044	176043
68	3093	176214
69	3109	174560
70	3138	173654
71	3156	172178
72	3198	172058
73	3244	172146
74	3295	172462
75	3346	172777
76	3396	173042
77	3445	173265
78	3497	173594
79	3535	173250
80	3553	171952
81	3605	172275
82	3656	172571
83	3706	172770
84	3740	172296
85	3789	172479
86	3837	172596
87	3871	172124
88	3920	172266
89	3972	172561
90	3991	171469
91	4038	171535
92	4088	171763
93	4109	170778
94	4162	171089
95	4219	171597
96	4266	171685
97	4324	172194
98	4394	173150
99	4453	173679
100	4512	174192
101	4583	175147
102	4643	175691
103	4694	175871
104	4711	174787
105	4769	175202
106	4778	173843
107	4836	174296
108	4898	174847
109	4913	173742
110	4960	173791
111	5041	175009
112	5119	176095
113	5170	176266
114	5229	176671
115	5278	176736
116	5325	176735
117	5350	176035
118	5407	176364
119	5471	176897
120	5536	177472
121	5585	177529
122	5634	177592
123	5680	177563
124	5730	177651
125	5782	177793
126	5839	178088
127	5886	178075
128	5937	178176
