zpid,is_FSBA,is_comingSoon,is_newHome,is_pending,is_forAuction,is_foreclosure,is_bankOwned,is_openHouse,is_FSBO,lastUpdated
10318377,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
10283430,false,true,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
88287138,false,false,false,false,false,true,false,false,false,2024-11-20 23:54:07.345926 UTC
2065672345,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
44208737,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442705938,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
13332751,false,true,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
343600676,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
347128492,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
97643028,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
346924299,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
442727038,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442717634,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2054131079,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
441623348,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442707828,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442721974,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
20455234,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
10284899,false,true,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442703892,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2054674178,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442565819,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
336775125,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
20631987,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
420796993,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
110086351,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442580428,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2053481640,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442720892,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
10477699,false,true,false,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
337913127,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
351929412,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
351154260,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442001065,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
337099395,false,false,true,false,false,false,false,true,false,2024-11-20 23:54:07.345926 UTC
2052842151,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
2053081150,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442720758,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
442724065,false,false,true,false,false,false,false,false,false,2024-11-20 23:54:07.345926 UTC
