zpid,price_knn,price_error
1069739.0,177450.0,0.10829145728643216
1069757.0,128900.0,0.1938711694809256
1069763.0,199450.0,0.2087878787878788
1070379.0,187450.0,0.4996
1070692.0,123950.0,0.12681818181818183
1071574.0,199250.0,0.3741379310344828
1071685.0,424500.0,2.859090909090909
1071742.0,304925.0,0.0468115035948734
1071867.0,199500.0,0.13260492436923638
1072094.0,223000.0,0.3765432098765432
1072645.0,344950.0,0.1536789297658863
1072928.0,205000.0,0.9140989729225023
1073114.0,307500.0,0.023809523809523808
1073202.0,315000.0,0.16
1073450.0,192500.0,0.01369141653501843
1073670.0,294950.0,0.13983668708078156
1073784.0,165000.0,0.2826086956521739
1073924.0,195000.0,0.05462412114656571
1074201.0,165000.0,0.9411764705882353
1074510.0,1002500.0,0.41884057971014493
1074652.0,182400.0,0.27039708158832637
1075340.0,274450.0,0.053620689655172415
1075348.0,394000.0,0.06515274398486078
1075357.0,202500.0,1.3792459259085195
1075504.0,221000.0,0.0391304347826087
1075936.0,179950.0,0.20771812080536914
1076464.0,188750.0,0.10380116959064327
1076468.0,206500.0,0.08222222222222222
1076552.0,190000.0,1.3779724655819774
1076565.0,138950.0,0.2082608695652174
1076660.0,133950.0,0.3395
1076885.0,142450.0,0.23869565217391303
1078939.0,512500.0,0.36666666666666664
1079631.0,418141.0,0.16371632743265488
1079689.0,200000.0,0.21212121212121213
1079775.0,114500.0,1.5444444444444445
1080084.0,350000.0,0.39655172413793105
1080970.0,163500.0,0.10655737704918032
1081402.0,179900.0,0.2801120448179272
1083138.0,408000.0,0.09333333333333334
1084996.0,161500.0,1.0443037974683544
1085287.0,175000.0,0.12456228114057029
1085622.0,320000.0,0.015384615384615385
1086023.0,367000.0,0.04857142857142857
1088143.0,159000.0,0.02646868947708199
1088190.0,172500.0,0.3097238895558223
1088422.0,189900.0,0.055586436909394105
1089454.0,292450.0,0.18537604456824514
1089856.0,299450.0,0.08890909090909091
1089982.0,298250.0,0.10435435435435435
1090112.0,182500.0,0.14133833646028768
1090532.0,646950.0,1.107328990228013
1091105.0,395000.0,0.24761904761904763
1091372.0,207500.0,0.12162162162162163
1091895.0,184950.0,0.229375
1094309.0,172500.0,0.3279445727482679
1095514.0,197450.0,0.09694444444444444
1095880.0,299725.0,0.1989
1096212.0,312450.0,0.09408524209915918
1096571.0,192500.0,0.14583333333333334
1096583.0,185000.0,0.07453726863431716
1096906.0,192500.0,0.4819091608929946
1097505.0,142450.0,0.2961783439490446
1097539.0,82499.5,0.09999333333333334
1097717.0,299900.0,0.10477611940298508
1097908.0,147450.0,1.9549098196392785
1098729.0,224000.0,0.6592592592592592
1099293.0,114999.5,0.15114614614614616
1099600.0,339000.0,0.12624584717607973
1101025.0,322450.0,0.3211578947368421
1101327.0,221500.0,0.024229074889867842
1101379.0,422500.0,0.3203125
1101525.0,379500.0,0.09621338413908073
1101576.0,357500.0,0.4019607843137255
1101891.0,284500.0,1.9978925184404637
1102826.0,179950.0,0.028285714285714286
1103238.0,192500.0,0.03701850925462731
1103925.0,152500.0,0.10294117647058823
1104308.0,317000.0,0.09348051052086927
1104693.0,197450.0,0.2738709677419355
1104883.0,339000.0,0.32941176470588235
1104889.0,274450.0,0.08486162054018007
1105271.0,535000.0,0.10818469744957493
1105355.0,165000.0,0.1745872936468234
1105454.0,594450.0,0.11933333333333333
1106596.0,131750.0,0.03740157480314961
1106663.0,99950.0,0.048095238095238094
1107053.0,220000.0,0.29487934078869926
1107656.0,208000.0,0.49640287769784175
1107916.0,143900.0,0.027857142857142858
1107959.0,310000.0,0.1906005221932115
1108740.0,115000.0,0.21180189673340358
1109133.0,279950.0,0.27285714285714285
1109258.0,112250.0,0.5682692307692307
1109919.0,305000.0,0.0
1110027.0,337000.0,0.036923076923076927
1110476.0,344500.0,0.378
1115467.0,312500.0,0.11647016791711326
1116292.0,142450.0,0.295
1117079.0,260000.0,1.03125
1117111.0,182400.0,0.013896609227348526
1117203.0,102500.0,0.06818181818181818
1118781.0,169501.0,0.27925283018867925
1119019.0,202000.0,0.18893466745144202
1119246.0,207500.0,0.05638926784902228
1119427.0,294950.0,0.16351084812623273
1120084.0,207450.0,0.18542857142857141
1120511.0,414450.0,0.1052
1121414.0,223950.0,0.24416666666666667
1122560.0,352400.0,0.26762589928057556
1122808.0,332450.0,0.16866716679169794
1122884.0,224500.0,0.7403100775193798
1123916.0,607500.0,1.3823529411764706
1124152.0,330000.0,0.08552631578947369
1124295.0,173000.0,0.2262969588550984
1124918.0,219500.0,0.04565217391304348
1125841.0,199250.0,0.03743961352657005
1126046.0,220000.0,0.10204081632653061
1126234.0,207500.0,0.16296893908834206
1127539.0,219500.0,0.024444444444444446
1127701.0,383992.5,0.3473421052631579
1128808.0,284500.0,0.05409410892923305
1129561.0,362000.0,0.11384615384615385
1130102.0,322500.0,0.07500358334527782
1132065.0,322450.0,0.1947017413856984
1133219.0,341500.0,0.10876623376623376
1133672.0,317450.0,0.0950327699206623
1135707.0,204450.0,0.13734177215189874
1136789.0,333950.0,0.12095288233745723
1136879.0,199900.0,0.09136363636363637
1137269.0,156450.0,0.21735867933966985
1137572.0,176750.0,0.10279187817258884
1138098.0,332500.0,0.05221518987341772
1138182.0,192500.0,0.4807692307692308
1140532.0,331950.0,0.05380952380952381
1140759.0,319950.0,1.133
1142236.0,189950.0,0.19478592623993218
1142347.0,767950.0,0.12732954545454545
1143999.0,188750.0,0.48739164696611503
1146186.0,189950.0,0.05025
1147079.0,207500.0,0.18571428571428572
1147618.0,176750.0,0.09358974358974359
1147944.0,220000.0,0.3758599124452783
1148371.0,177500.0,0.013340744858254585
1148373.0,219500.0,0.3474524248004911
1148856.0,148250.0,0.786144578313253
1148872.0,126000.0,0.5
1152084.0,362500.0,0.5230263157894737
1152820.0,227450.0,0.03858447488584475
1155017.0,203450.0,0.043333333333333335
1155194.0,486500.0,0.24573643410852714
1155485.0,303500.0,0.10363636363636364
1155551.0,341500.0,0.10161290322580645
1156184.0,109950.0,0.8024590163934426
1156256.0,590000.0,0.5567282321899736
1157051.0,320000.0,0.19850187265917604
1157355.0,322500.0,0.13197613197613198
1158326.0,325500.0,0.013636363636363636
1158421.0,579500.0,0.31823529411764706
1159312.0,1794500.0,0.6313636363636363
1160145.0,333950.0,0.15155172413793103
1166752.0,333950.0,0.13241776873516448
1167314.0,224500.0,0.020454545454545454
1168030.0,118950.0,0.00875
1168719.0,161500.0,0.07666666666666666
1168758.0,165000.0,0.04430379746835443
1170161.0,224500.0,0.023908799603476538
1170348.0,209500.0,0.10263157894736842
1170684.0,377500.0,0.07857142857142857
1171412.0,322450.0,0.04049693449499839
1174025.0,289950.0,0.1602641056422569
1174698.0,317450.0,0.004858934169278997
1176062.0,333950.0,0.3358
1176891.0,297450.0,0.16211267605633803
1179533.0,375000.0,0.3686131386861314
1179774.0,200000.0,0.1836734693877551
1179941.0,219950.0,0.4199483537766301
1180027.0,207500.0,0.07777777777777778
1181684.0,295700.0,0.16877470355731225
1184256.0,207500.0,0.03801900950475238
1184818.0,307500.0,0.10869565217391304
1186148.0,174900.0,0.27125
1186450.0,179450.0,0.3814472671285604
1186497.0,131450.0,0.5648809523809524
1186528.0,320000.0,0.14285714285714285
1188898.0,299900.0,0.016721311475409836
1188902.0,312450.0,0.041847282427475825
1189803.0,317500.0,0.22560975609756098
1190323.0,374999.5,0.24242525252525252
1191159.0,307500.0,0.09821428571428571
1191706.0,354000.0,0.2053872053872054
1191988.0,242450.0,0.07755555555555556
1192272.0,307450.0,0.231375
1193132.0,324250.0,0.08661971830985915
1194018.0,294900.0,0.3220689655172414
1194205.0,179900.0,0.07696254489481785
1194611.0,200000.0,0.3422818791946309
1195893.0,220950.0,0.004318181818181818
1195954.0,197450.0,0.03921052631578947
1197895.0,297500.0,1.2037037037037037
1198240.0,365000.0,0.6826086956521739
1199068.0,202750.0,0.1791497975708502
1200313.0,284500.0,0.07358490566037736
1200593.0,223000.0,0.004464285714285714
1201794.0,302450.0,0.16371681415929204
1202698.0,173750.0,0.17222486898523107
1204388.0,343000.0,0.071875
1204767.0,206500.0,0.08222222222222222
1204908.0,749500.0,0.028120713305898493
1205048.0,274450.0,0.08486162054018007
1205276.0,317000.0,0.17450907743608743
1205456.0,197450.0,0.01275
1205890.0,209500.0,0.12708333333333333
1207026.0,437500.0,0.43838254172015406
1207455.0,329950.0,0.05728571428571429
1209558.0,543750.0,1.0138888888888888
1210371.0,216900.0,0.27588235294117647
1211508.0,229000.0,0.2722222222222222
1212157.0,170000.0,0.22727272727272727
1212818.0,149950.0,0.14801136363636364
1214394.0,173999.5,0.5818136363636364
1214777.0,223950.0,0.14846153846153845
1215128.0,129000.0,0.3723404255319149
1215540.0,172500.0,0.13749568747843738
1217776.0,299900.0,0.11794117647058823
1218208.0,188750.0,0.4575289575289575
