iter	RMSE
0	1253288.526
1	1211966.274
2	1181510.226
3	1155229.168
4	1122839.344
5	1092721.286
6	1069153.12
7	1057126.21
8	1034480.855
9	1010893.574
10	991931.6434
11	975267.8429
12	960829.8033
13	939265.1565
14	923125.7059
15	910845.8224
16	898951.3756
17	887088.5162
18	874909.906
19	862876.7378
20	851101.3641
21	838348.8722
22	831444.5939
23	825838.4291
24	819174.0813
25	810093.9726
26	803839.1016
27	794862.0251
28	788573.2201
29	780723.0818
30	773219.7472
31	768968.3098
32	761999.185
33	757224.6566
34	754480.5451
35	749714.9804
36	745567.0244
37	742283.1415
38	740322.5557
39	736840.4858
40	731862.3641
41	727712.0188
42	725502.2811
43	721109.4148
44	717859.7553
45	715162.0222
46	710619.3341
47	707205.5214
48	704486.4724
49	704441.6699
50	702035.5581
51	699373.7659
52	697164.9141
53	695803.533
54	692200.3645
55	690598.6455
56	687941.5807
57	685658.0025
58	684197.7586
59	682175.2088
60	680282.1304
61	677761.8812
62	674764.781
63	671732.1101
64	670828.8251
65	668454.9502
66	666603.181
67	662904.7575
68	662556.4717
69	660913.8162
70	658272.6401
71	657892.8024
72	656715.9085
73	655328.901
74	654279.7735
75	653324.4831
76	651492.5581
77	650720.3088
78	648559.7633
79	646057.3006
80	644147.9186
81	644030.8553
82	642743.0458
83	641668.5443
84	639160.1147
85	636489.4607
86	634452.3689
87	631404.8537
88	630006.7654
89	628499.0672
90	627202.5307
91	627200.9839
92	626077.3015
93	625289.2507
94	624695.9531
95	622532.4886
96	621201.5563
97	618896.6275
98	617686.1186
99	615284.3735
100	613102.1021
101	610939.4238
102	607870.972
103	606156.4453
104	602241.4644
105	601707.672
106	601073.3636
107	599019.4031
108	596226.9413
109	594518.4295
110	593637.5653
111	592253.1916
112	591546.5762
113	590737.372
114	588206.8784
115	587206.0412
116	586867.9345
117	585002.7828
118	584284.6696
119	581147.7137
120	579918.8852
121	577646.5755
122	575968.3327
123	574763.1468
124	573743.9721
125	572095.1842
126	569932.7676
127	567447.309
128	567442.2343
129	565162.9101
130	563204.4409
131	561558.5847
132	560088.054
133	556035.5894
134	554175.7516
135	552912.6044
136	550730.3962
137	550421.3807
138	547894.5702
139	544644.5389
140	543600.93
141	540719.6385
142	538858.2443
143	538062.8094
144	537084.2807
145	534679.0154
146	531427.8315
147	529298.8799
148	526166.8855
149	525535.293
150	524017.5994
151	521823.6104
152	520875.4198
153	518870.6268
154	517622.1651
155	516192.9523
156	514270.5745
157	513509.4802
158	512328.0922
159	508511.5625
160	506658.7664
161	504631.0862
162	503332.1949
163	501914.2023
164	499399.7621
165	497975.6819
166	496449.0377
167	494585.9401
168	493827.3201
169	492534.197
170	489823.6992
171	487627.9772
172	486632.4619
173	485400.0819
174	483353.4906
175	481868.8485
176	480995.3679
177	479619.1129
178	478138.4279
179	475764.0398
180	473809.3744
181	473386.1719
182	472204.3422
183	469429.6392
184	468557.942
185	466633.8299
186	466294.7312
187	464939.7195
188	463488.7837
189	461764.1771
190	461053.7038
191	460674.5562
192	459661.4469
193	457829.7079
194	457099.7163
195	455170.7766
196	453133.8823
197	451556.3556
198	450805.6549
199	450188.9242
200	449529.5974
201	448257.0281
202	446285.6838
203	445181.0724
204	444335.7392
205	443171.9168
206	442524.7622
207	441961.128
208	440847.2024
209	440167.9519
210	439384.9413
211	438068.7689
212	437177.6439
213	435779.2964
214	434767.5527
215	432733.7826
216	431118.2143
217	430409.2758
218	429549.1321
219	428260.2109
220	427255.5891
221	426103.2362
222	425399.13
223	424762.5017
224	423583.1959
225	422761.0615
226	421680.3367
227	420857.1609
228	419812.7228
229	419211.3269
230	417773.242
231	416401.1771
232	414948.4969
233	413905.6069
234	412098.5153
235	411518.4941
236	410003.7174
237	408345.4867
238	408095.2696
239	407416.9127
240	405950.4134
241	404593.2157
242	404192.7105
243	402700.4635
244	402051.6216
245	401238.4534
246	400820.442
247	399981.2414
248	399058.5779
249	398597.0782
250	397792.5696
251	397370.1678
252	396618.1849
253	396236.1942
254	394910.5121
255	393764.7152
256	393362.4689
257	392533.9108
258	391629.0201
259	390832.3663
260	390234.193
261	389320.5134
262	388378.3837
263	387490.482
264	387063.4088
265	386629.6929
266	384831.8402
267	384451.2774
268	384086.2605
269	383015.7128
270	382385.6008
271	380474.8172
272	379456.775
273	379093.9826
274	378300.7681
275	377684.7554
276	376554.0724
277	375577.7275
278	374533.4665
279	373784.4271
280	372959.2128
281	372177.3034
282	371278.5601
